Year,Sea Level
1882,6740
1883,6823
1884,6772
1885,6754
1886,6755
1887,6744
1888,6902
1890,6671
1891,6726
1892,6763
1893,6782
1894,6686
1895,6852
1896,6807
1897,6864
1898,6724
1899,6733
1900,6799
1901,6805
1902,6793
1903,6810
1904,6717
1905,6764
1906,6819
1907,6837
1908,6704
1909,6748
1910,6784
1911,6681
1912,6762
1913,6766
1914,6796
1925,6695
1926,6820
1927,6769
1928,6690
1929,6702
1930,6701
1931,6835
1932,6787
1933,6789
1934,6763
1935,6740
1936,6832
1937,6819
1938,6832
1939,6834
1940,6875
1941,6925
1942,6825
1943,6687
1944,6801
1945,6774
1946,6773
1947,6763
1948,6823
1949,6655
1950,6742
1951,6834
1952,6783
1953,6814
1954,6726
1955,6871
1956,6820
1957,6727
1958,6848
1959,6761
1960,6815
1961,6804
1962,6809
1963,6898
1964,6882
1965,6793
1966,6838
1967,6861
1968,6874
1969,6915
1970,6948
1971,6907
1972,6823
1973,6776
1974,6836
1975,6859
1976,6834
1977,6881
1978,6880
1979,6890
1980,6928
1981,6931
1982,6888
1983,6850
1984,6840
1985,6818
1986,6900
1987,6928
1988,6991
1989,6916
1990,6980
1991,7057
1992,7033
1993,7099
1994,7078
1995,7091
1996,7087
2004,6883
2005,6999
2006,7017
2007,7042
2008,7040
2009,7017
2010,7010
2011,7027
2012,6983
2013,6936
2014,6919
2015,6932
2016,6943
2017,6937
2018,6905
